inference_date,n_customers,avg_probability,std_probability,min_probability,max_probability,median_probability,predicted_default_rate,pct_High Risk,pct_Low Risk,pct_Medium Risk
2023-06-01,517,0.3930540302475822,0.25041762373613047,0.0480317,0.8954307,0.27977878,0.3036750483558994,20.116054158607348,54.15860735009671,25.72533849129594
2023-07-01,471,0.4282814668237792,0.25419968235891605,0.049495775,0.9047747,0.3308437,0.346072186836518,24.628450106157114,45.85987261146497,29.511677282377917
2023-08-01,481,0.417726315029106,0.254528458791401,0.04514778,0.89878666,0.30424517,0.3264033264033264,24.116424116424117,49.064449064449065,26.819126819126822
2023-09-01,454,0.4028644758303965,0.24664791269931682,0.04424332,0.8941357,0.294638125,0.31277533039647576,20.26431718061674,50.881057268722465,28.854625550660796
2023-10-01,487,0.3995353420287474,0.2520909240143714,0.040054765,0.9085764,0.28891462,0.3059548254620123,20.944558521560573,51.95071868583162,27.104722792607806
2023-11-01,491,0.4049394882708758,0.25178628578317525,0.04395306,0.90167856,0.29347774,0.3014256619144603,21.58859470468432,50.71283095723014,27.698574338085542
2023-12-01,489,0.4189907502985685,0.25255100816191045,0.04373468,0.91238916,0.31077912,0.32719836400818,22.290388548057262,47.239263803680984,30.470347648261757
2024-01-01,485,0.41746949128865984,0.24882540139414522,0.04577892,0.8905218,0.30673832,0.3422680412371134,22.061855670103093,48.04123711340206,29.896907216494846
2024-02-01,518,0.4319190342876448,0.24647950437567823,0.05094768,0.8986236,0.32283511,0.3552123552123552,22.00772200772201,44.20849420849421,33.78378378378378
2024-03-01,511,0.421124523221135,0.24901487137963876,0.045161095,0.88709736,0.3168356,0.350293542074364,23.09197651663405,46.771037181996086,30.136986301369863
2024-04-01,513,0.4153988098791423,0.24939746846856947,0.044005327,0.8992318,0.3088297,0.33528265107212474,21.24756335282651,47.758284600389864,30.994152046783626
2024-05-01,491,0.42519954539511207,0.24635327120410816,0.048196834,0.8909093,0.31547564,0.3421588594704684,22.403258655804482,47.45417515274949,30.14256619144603
2024-06-01,498,0.4073271196586345,0.23438399731604295,0.04607145,0.89120954,0.315594305,0.3172690763052209,17.46987951807229,45.58232931726908,36.94779116465863
2024-07-01,505,0.4067246655920792,0.22476918774250942,0.04753344,0.8292705,0.3225104,0.3445544554455445,15.643564356435643,46.13861386138614,38.21782178217822
2024-08-01,543,0.40369210858563537,0.21184945071529449,0.044460252,0.82794124,0.32059044,0.30755064456721914,15.469613259668508,45.11970534069982,39.41068139963168
2024-09-01,493,0.4045582974563895,0.22061780618275417,0.04638738,0.82942265,0.32862872,0.3509127789046653,15.821501014198782,43.40770791075051,40.77079107505071
2024-10-01,456,0.3819285094539474,0.2074239553875055,0.046995457,0.82310605,0.299707535,0.2807017543859649,13.596491228070176,50.0,36.40350877192983
2024-11-01,488,0.4088040897622951,0.21403223755074377,0.04487989,0.83503276,0.32946247,0.3360655737704918,16.188524590163937,43.64754098360656,40.16393442622951
2024-12-01,515,0.37126672101747576,0.2133926582880938,0.0465722,0.8430552,0.29103073,0.27184466019417475,13.78640776699029,51.6504854368932,34.56310679611651
2025-01-01,526,0.3998741299239544,0.21918441091944357,0.046282716,0.8527125,0.31978196999999997,0.31368821292775667,15.96958174904943,46.958174904942965,37.0722433460076
